,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,,Duración,
0395,G. LUX PASTO,0395-TALLER MANTTO PLANTA,TALLER  MANTENIMIENTO  EQUIPOS DE PLANTA,207014,TALLER INDUSTRIAL MANTENIMIENTO PLANTA,0,TRABAJOS VARIOS TALLER,13151488,ALQUILER CILINDRO DE ACETILENO,PM02,LIB. OTES,2023-11-01 05:00:00,,,,"0,0",
0395,G. LUX PASTO,0395-PLANTAS DE AGUAS,TRATAMIENTO DE AGUA PARA ENVASADO,70947401,CLORADOR,0,CAMBIO DE EEMENTO FILTRANTE CARCAZA,13152096,CAMBIO DE EEMENTO FILTRANTE CARCAZA,PM02,LIB.,2023-11-02 05:00:00,,,,"0,0",
0395,G. LUX PASTO,0395-PLANTAS DE AGUAS,TRATAMIENTO DE AGUA PARA ENVASADO,70947404,TANQUE DE BALANCE,46703,PLAN MTTO ELEC TANQUE BALANCE 70947404,13124033,Mtto de sensores y control de nivel,PM02,LIB.,2023-11-14 05:00:00,Jurado Gerardo,medio/Moderado,,1,
0395,G. LUX PASTO,0395-LINEA BOTELLON 20 LTS,LINEA DE PRODUCCION DE BOTELLONES DE 20,71015906,LAVADORA DE BOTELLONES,45390,PLAN MTTO ELEC LAV BOTELLONES 71015906,13123986,Mtto elect de microsuiches y fotoceldas,PM02,LIB.,2023-11-14 05:00:00,Ordoñez Jose,medio/Moderado,,1,
0395,G. LUX PASTO,0395-LINEA 1,"LINEA DE ENVASADO 12ONZ  8,5ONZ  1.25 l",558083,DESEMPACADORA,45143,PLAN MTTO MEC. DESEMPACADORA 558083,13123923,Mantto ejes y bujes,PM02,LIB.,2023-11-02 05:00:00,,bajo/Medio,,"2,0",Cifuentes Christian
0395,G. LUX PASTO,0395-LINEA 1,"LINEA DE ENVASADO 12ONZ  8,5ONZ  1.25 l",508164,LAVADORA DE BOTELLAS,45102,PLAN MTTO LUB. LAV. BOTELLAS 508164,13120063,Lubricación cadenas,PM02,LIB.,2023-11-14 05:00:00,Cifuentes Christian,medio/Moderado,,0.5,
0395,G. LUX PASTO,0395-LINEA BOTELLON 20 LTS,LINEA DE PRODUCCION DE BOTELLONES DE 20,710159,LLENADORA DE BOTELLONES,45402,PLAN MTTO MEC LLENAD BOTELLONES 710159,13148662,Mtto actuadores neumaticos llenadora bot,PM02,LIB.,2023-11-03 05:00:00,,medio/Moderado,,"1,0",
0395,G. LUX PASTO,0395-LINEA BOTELLON 20 LTS,LINEA DE PRODUCCION DE BOTELLONES DE 20,71015906,LAVADORA DE BOTELLONES,45401,PLAN LUBRICA. LAV. DE BOTELLONES 7101590,13159594,lubricar unidad de mantenimiento,PM02,ABIE,2023-11-10 05:00:00,,medio/Moderado,,"0,3",
0395,G. LUX PASTO,0395-LINEA 1,"LINEA DE ENVASADO 12ONZ  8,5ONZ  1.25 l",599571,INSPECTOR ELECTRONICO BOTELLAS VACIAS,45366,PLAN MTTO ELEC. INSP. ELECT. 599571,13159565,Mantto sensor de espacio botella en entr,PM02,ABIE,2023-11-10 05:00:00,,medio/Moderado,,"0,3",
0395,G. LUX PASTO,0395-LINEA 1,"LINEA DE ENVASADO 12ONZ  8,5ONZ  1.25 l",558083,DESEMPACADORA,45143,PLAN MTTO MEC. DESEMPACADORA 558083,13123923,Mantto piñones de cadenas table top,PM02,LIB.,2023-11-02 05:00:00,,bajo/Medio,,"2,0",
0395,G. LUX PASTO,0395-PLANTAS DE AGUAS,TRATAMIENTO DE AGUA PARA ENVASADO,69962151,COCINA CALENTAMIENTO AGUA FILTROS,45157,PLAN MTTO MEC CALENT FILTROS 69962151,13123941,Mtto del quemador,PM02,LIB.,2023-11-03 05:00:00,,medio/Moderado,,"2,0",
0395,G. LUX PASTO,0395-LINEA BOTELLON 20 LTS,LINEA DE PRODUCCION DE BOTELLONES DE 20,71015907,LAVADORA DE HUACALES,45385,PLAN MTTO MEC LAVAD HUACALES 71015907,13159579,Mtto inyectores de lavado y valvulas,PM02,ABIE,2023-11-10 05:00:00,,bajo/Medio,,"1,5",
0395,G. LUX PASTO,0395-LINEA 1,"LINEA DE ENVASADO 12ONZ  8,5ONZ  1.25 l",599571,INSPECTOR ELECTRONICO BOTELLAS VACIAS,45365,PLAN MTTO MEC. INSP.ELECT.599571,13131172,Mantto estrella porta copas,PM02,LIB.,2023-11-10 05:00:00,,medio/Moderado,,"2,0",
