,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,,Duración
0398,LUX VILLAVICENCIO,0398-AGUA L4 VIDRIO Y PET,LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,50663,PLAN MTTO LLENAODRA ZEGLA 519563,13105553,CAMBIO DE EMPAQUES COLECTOR CIP,PM02,LIB.,2023-09-11 05:00:00,SARAY BRANDOL,alto,,1
0398,LUX VILLAVICENCIO,0398-AGUA L4 VIDRIO Y PET,LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,50663,PLAN MTTO LLENAODRA ZEGLA 519563,13105553,MANTENIMIENTO SISTEMA SUMINISTRO DE TAPA,PM02,LIB.,2023-09-11 05:00:00,SARAY BRANDOL,alto,,8
0398,LUX VILLAVICENCIO,0398-AGUAS RESIDUALES,PLANTA DE TRATAMIENTO AGUAS RESIDUALES,71007203,SISTEMA NEUTRALIZACION DE PH CON CO2,,CAMBIO VALVULA SOLENOIDE,13102559,CAMBIO VALVULA SOLENOIDE,PM02,LIB.,2023-09-11 05:00:00,SARAY BRANDOL,alto,,1
0398,LUX VILLAVICENCIO,0398-AGUA L4 VIDRIO Y PET,LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,50663,PLAN MTTO LLENAODRA ZEGLA 519563,13105553,MANTENIMIENTO  ROSCADORES TAPA TALOG,PM02,LIB.,2023-09-11 05:00:00,SARAY BRANDOL,alto,,8
0398,LUX VILLAVICENCIO,0398-AGUA L4 VIDRIO Y PET,LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,50663,PLAN MTTO LLENAODRA ZEGLA 519563,13105553,CAMBIO DE GUIA LATERAL INF PISTON,PM02,LIB.,2023-09-11 05:00:00,SARAY BRANDOL,alto,,1
0398,LUX VILLAVICENCIO,0398-AGUA L4 VIDRIO Y PET,LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,50663,PLAN MTTO LLENAODRA ZEGLA 519563,13105553,CAMBIO DE EMPAQUES COLECTOR PRINCIPAL,PM02,LIB.,2023-09-11 05:00:00,SARAY BRANDOL,alto,,1
0398,LUX VILLAVICENCIO,0398-AGUA L4 VIDRIO Y PET,LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,50663,PLAN MTTO LLENAODRA ZEGLA 519563,13107773,LUBRICACION ROSCADORES AROL,PM02,LIB.,2023-09-11 05:00:00,SARAY BRANDOL,Muy elevado,,1
0398,LUX VILLAVICENCIO,0398-AGUA L4 VIDRIO Y PET,LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,50663,PLAN MTTO LLENAODRA ZEGLA 519563,13107773,LUBRICACION PISTONES LLENADORA,PM02,LIB.,2023-09-11 05:00:00,SARAY BRANDOL,Muy elevado,,1
0398,LUX VILLAVICENCIO,0398-AGUA L4 VIDRIO Y PET,LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,50663,PLAN MTTO LLENAODRA ZEGLA 519563,13105553,CAMBIO DE FILTRO G4 FILTRACIÓN POSITIVA,PM02,LIB.,2023-09-11 05:00:00,SARAY BRANDOL,alto,,1
0398,LUX VILLAVICENCIO,0398-AGUA L4 VIDRIO Y PET,LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,50663,PLAN MTTO LLENAODRA ZEGLA 519563,13105553,MANTTO CONJUNTO PINZA RINSE:,PM02,LIB.,2023-09-11 05:00:00,SARAY BRANDOL,alto,,8
0398,LUX VILLAVICENCIO,0398-EQUIPOS AUXILIARES AGUA,EQUIPOS AUXILIARES PRODUCCION AGUA,749294,SUB ESTACION 300 KVA,,MANTENIMIENTO RED 13.2KV,13104540,SERV RESTAURACION ELECTRICA 13.2KV,PM01,LIB.,2023-09-10 05:00:00,SARAY BRANDOL,alto,,1
0398,LUX VILLAVICENCIO,0398-AGUA L4 VIDRIO Y PET,LINEA VIDRIO Y PET,519563,MONOBLOCK RINSE-LLENADO-TAPADO DUAL,50663,PLAN MTTO LLENAODRA ZEGLA 519563,13105553,MANTTO CONJUNTO PISTONES ELEVADORES,PM02,LIB.,2023-09-11 05:00:00,PINTO JOSE WIMAR,alto,,8
