,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,,Duración
0381,G. LUX MONTERÍA,0381-LINEA 1,"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",599568,INSPECTOR ELECTRONICO,19925,PLAN LUBRICAC INSPECTOR ELECTRONI 599568,13084001,Reajuste nivel de aceite bomba de vacio,PM02,ABIE,45170.20833333334,Hernandez Juan,alto,,0.1
0381,G. LUX MONTERÍA,0381-LINEA 1,"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",599568,INSPECTOR ELECTRONICO,19925,PLAN LUBRICAC INSPECTOR ELECTRONI 599568,13084001,Reajuste nivel de aceite unidad Mtto,PM02,ABIE,45170.20833333334,Hernandez Juan,alto,,0.1
0381,G. LUX MONTERÍA,0381-PLANTAS DE AGUAS,TRATAMIENTO DE AGUA PARA ENVASADO Y LAVA,70961701,FILTRO DE ARENA LAVADORAS,20058,PLAN MTTO MECANIC FILTRO DE ARENA LAV I,13102443,Revisar estado de valvulas y manometros,PM02,ABIE,45173.20833333334,Padilla Deibis,alto,,0.1
0381,G. LUX MONTERÍA,0381-PLANTAS DE AGUAS,TRATAMIENTO DE AGUA PARA ENVASADO Y LAVA,70961701,FILTRO DE ARENA LAVADORAS,20058,PLAN MTTO MECANIC FILTRO DE ARENA LAV I,13102443,Revisar estado general del tanque.,PM02,ABIE,45173.20833333334,Padilla Deibis,alto,,0.1
0381,G. LUX MONTERÍA,0381-SALA DE JARABES,EQUIPOS PARA  PREPARACION DE JARABE,69962204,TANQUE DE JARABE No. 4,7281,PLAN DE MANT ELECTRICO TINA #4,13102406,Revisión del sistema de temporización,PM02,ABIE,45190.20833333334,Padilla Deibis,alto,,0.5
0381,G. LUX MONTERÍA,0381-LINEA 1,"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",530002,CAPSULADORA,0,CAMBIO CILINDRO  TOPE  TAPA PLASTICA,13079947,CAMBIO DE CILINDRO  TOPE TAPA PLAST,PM01,LIB.,45184.20833333334,Criales Deuner,medio,,1
0381,G. LUX MONTERÍA,0381-LINEA DE BOLSAS,LINEA PARA EL LLENADO DE BOLSAS,71019501,CODIFICADOR,29777,MTTO ELECTRI CODIFICADOR MARKEM 18i,13102494,Revisión estado de soportes y rodillos d,PM02,ABIE,45180.20833333334,Hernandez Juan,alto,,1
0381,G. LUX MONTERÍA,0381-LINEA 1,"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",518559,LLENADORA,5971,PLAN LUBRICACION LLENADORA MEYER 518559,13102398,Lubricacion general de llenadora,PM02,NOTP LIB.,45173.20833333334,Criales Deuner,Muy elevado,,1
0381,G. LUX MONTERÍA,0381-LINEA 1,"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",829660,TRANSPORTADOR DE BOTELLAS VACIAS LIMPIAS,20148,PLAN MTO MECANICO TRANSP DE BOTELL VACIA,13102475,"Revision estructura interna (piñones, ca",PM02,ABIE,45189.20833333334,Daguer Carlos,alto,,8
0381,G. LUX MONTERÍA,0381-LINEA 1,"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",518559,LLENADORA,5971,PLAN LUBRICACION LLENADORA MEYER 518559,13112283,Reajuste nivel de aceite unidad Mtto,PM02,ABIE,45187.20833333334,Criales Deuner,Muy elevado,,0.2
0381,G. LUX MONTERÍA,0381-PLANTAS DE AGUAS,TRATAMIENTO DE AGUA PARA ENVASADO Y LAVA,70945703,CUARTO DE BOMBAS LAVADORAS,51673,PLAN MTTO PREDIC BOMB AGUA LAVA 70945703,13095196,Análisis Termográfico Compone Elec Mecán,PM07,ABIE,45178.20833333334,Padilla Deibis,Muy elevado,,0.5
0381,G. LUX MONTERÍA,0381-LINEA 1,"LINEA DE ENVASADO 12 ONZ Y 8,5 ONZ",540004,EMPACADORA,51675,PLAN MTTO PREDIC EMPACADORA BOTE 540004,13095197,Analis termogra componentes electr y mec,PM07,ABIE,45184.20833333334,Perez Victor,Muy elevado,,0.5
0381,G. LUX MONTERÍA,0381-LINEA BOTELLON 20 LTS,LINEA DE PRODUCCION DE BOTELLONES DE 20,710105,LAVADORA DE BOTELLONES,51687,PLAN MTTO PREDICTIVO LAV BOTELLON 710105,13095203,Análisis Termográfico Compone Elec Mecán,PM07,ABIE,45183.20833333334,Padilla Deibis,,,0.5
